group,ticker,omega,alpha,beta,persistence,half_life_days,log_likelihood,aic,lb_pvalue_resid,lb_pvalue_resid_sq
semiconductor,IPGP,1.0849345720156414,0.11503731744134478,0.7343287079017426,0.8493660253430875,4.2455328727048816,-3453.330067835376,6916.660135670752,0.0295253268713132,0.989481761993182
semiconductor,KLAC,0.3768471950515703,0.07515457750483803,0.8787564520015299,0.9539110295063679,14.690029789532266,-3582.2435871761027,7174.487174352205,0.00019420711080862094,0.9533494987451525
semiconductor,KLIC,0.512536486238064,0.10579275352950653,0.837249402878618,0.9430421564081246,11.819516404907588,-3642.448477835128,7294.896955670256,0.6104754618197419,0.004205351384515278
semiconductor,LASR,1.45629965215917,0.14113774630729278,0.7747159471895818,0.9158536934968746,7.8857545368696496,-4024.8788772020985,8059.757754404197,0.06903669027900657,0.9785195928586096
semiconductor,LRCX,0.31896830675631166,0.07791329780024871,0.8886402504485833,0.966553548248832,20.375548595878335,-3676.8645825994863,7363.729165198973,0.0001824469383938291,0.09719120806937494
semiconductor,LSCC,0.45333892710464196,0.05733516501067878,0.9027355903376847,0.9600707553483635,17.01045901064498,-3890.4055957702885,7790.811191540577,0.029603460933706336,0.7077916467726408
semiconductor,MCHP,0.4371805691096142,0.09192026236577182,0.8510982949228346,0.9430185572886064,11.814474916210404,-3573.0935201374114,7156.187040274823,0.501116924334706,0.19246794756876373
semiconductor,MPWR,0.5851489790631142,0.11130429003524772,0.8428664592446822,0.9541707492799298,14.775275163962903,-3816.732142226958,7643.464284453916,0.06951372894427471,0.5767464789124603
semiconductor,MRAM,0.11531935389791712,0.02529450450446998,0.9695501646850133,0.9948446691894833,134.1056404175849,-4075.770861386389,8161.541722772778,0.3142136100184242,0.9999956521369348
semiconductor,MRVL,0.6667047901692652,0.08460335680722136,0.8643213903372756,0.948924747144497,13.221494724498568,-3912.325406508009,7834.650813016018,0.22862120485341406,0.998539453149006
semiconductor,MTSI,0.668770289671843,0.10380173838790398,0.8210656620676762,0.9248674004555801,8.874566863900483,-3637.170075721104,7284.340151442208,0.005453503873299684,0.9971833800428962
semiconductor,MU,0.2138790505618287,0.06397510104557307,0.9153316956462685,0.9793067966918415,33.148587918346685,-3736.3872286070455,7482.774457214091,0.01382801440206167,0.8449901019284645
semiconductor,MXL,1.452383131183549,0.07555339940426604,0.8449867188999816,0.9205401183042476,8.371879036589196,-4133.306639195769,8276.613278391538,0.07551259284852932,0.9991888841586984
semiconductor,NVDA,0.3648900997397118,0.0907432887949036,0.8786999913363513,0.9694432801312549,22.335586335160265,-3814.623662214528,7639.247324429056,0.20768496497823463,0.9958949860749351
semiconductor,NVEC,0.7692277108664333,0.05037512211217277,0.8346849918923913,0.8850601140045641,5.676894529253059,-3377.463629760778,6764.927259521556,0.06248004669840588,0.9634428092793033
semiconductor,NVMI,0.16183800632160036,0.060470052285011275,0.9215773288590692,0.9820473811440804,38.262188758697235,-3615.9153389280928,7241.8306778561855,0.0005846782379377277,0.3885306969524238
semiconductor,NVTS,3.632009586378891,0.11828699137319162,0.7822982432928012,0.9005852346659928,6.619655182636831,-3284.972615891665,6579.94523178333,0.8957699461135128,0.999999923886787
semiconductor,NXPI,0.34649538352423226,0.10574844908493423,0.8439187695151016,0.9496672186000358,13.421730535537971,-3493.10893217568,6996.21786435136,0.004137302195276092,0.2865095509628704
semiconductor,ON,0.898075200238784,0.12232421478885336,0.802737486876135,0.9250617016649884,8.898499409625666,-3876.979513329618,7763.959026659236,0.016816567377100126,0.9468525288094486
semiconductor,ONTO,1.0983558281932346,0.08231313205391315,0.8250092201870066,0.9073223522409197,7.1269287449418295,-3886.6728205289323,7783.345641057865,0.1313135989680528,0.9996034778385805
semiconductor,PI,0.8806572617880335,0.022313658117068855,0.9310506692580756,0.9533643273751444,14.513693162334864,-4148.18583774365,8306.3716754873,0.08448949737512952,0.9997502323002665
semiconductor,PLAB,2.5714157324801983,0.1773153144838202,0.5810942756981304,0.7584095901819506,2.5065741959234473,-3675.142544533935,7360.28508906787,0.0323137390035928,0.9998767077993966
semiconductor,POET,2.9965842318418816,0.24733293155833366,0.7284681564086382,0.9758010879669718,28.295744672544274,-4489.344458502768,8988.688917005536,0.6641930689532964,0.9861321650463256
semiconductor,POWI,0.6701069802251157,0.09302352760271991,0.8190687017658138,0.9120922293685337,7.5330486136958195,-3554.335844625859,7118.671689251718,0.0050204677937614,0.024873248665946413
semiconductor,PXLW,2.925984983881566,0.16793131698458003,0.7341651262845824,0.9020964432691625,6.727373841799932,-4348.234668483924,8706.469336967848,0.3842321442765096,0.9990398990877589
