group,ticker,omega,alpha,beta,persistence,half_life_days,log_likelihood,aic
semiconductor,ACLS,0.49524447291849644,0.06996480498165708,0.8926227952363555,0.9625876002180125,18.178428448443512,-3944.5538776290023,7899.1077552580045
semiconductor,ACMR,3.5066412913844016,0.09209212907090944,0.7930419308879054,0.8851340599588149,5.68078155090983,-4519.877100488697,9049.754200977393
semiconductor,ADI,0.2761196825461319,0.09246126613449422,0.8475186022948022,0.9399798684292965,11.198429496479937,-3161.5567531706283,6333.113506341257
semiconductor,ALAB,3.135738733320793,0.0,0.9004848888363044,0.9004848888363044,6.6126182715833695,-1362.2974878678651,2734.5949757357303
semiconductor,AMAT,0.4574550352502118,0.09120958559304543,0.856156422037862,0.9473660076309074,12.819495926720329,-3618.8319154309293,7247.6638308618585
semiconductor,AMBA,1.323749989001483,0.05466526215396322,0.858697066245407,0.9133623283993701,7.648721286035104,-4010.4561956860834,8030.912391372167
semiconductor,AMD,0.5115310123187176,0.05730521162424766,0.9008325542103749,0.9581377658346225,16.208772593008852,-3861.347823144264,7732.695646288528
semiconductor,AMKR,0.8433163846974152,0.0812004316533783,0.8517763498947087,0.932976781548087,9.99131586017221,-3812.278776878941,7634.557553757882
semiconductor,AVGO,0.4420370603128587,0.13164403863933008,0.8118142653029559,0.9434583039422859,11.909109376937257,-3393.6927992284527,6797.385598456905
semiconductor,AXTI,0.7040628149623022,0.0447187931302986,0.9288039273608665,0.9735227204911651,25.83081903258172,-4403.274137413593,8816.548274827186
semiconductor,CAMT,0.6137204819309576,0.05181618525513317,0.8988714824280681,0.9506876676832013,13.706769900555948,-3932.178144878119,7874.356289756238
semiconductor,CRDO,4.905514437600683,0.1357874044987839,0.6529825809945697,0.7887699854933536,2.9212139257944303,-2828.4764339863723,5666.952867972745
semiconductor,ENTG,0.36716509514530127,0.06848268687153791,0.8939288919216535,0.9624115787931914,18.091657526388897,-3727.210384576093,7464.420769152186
semiconductor,FORM,1.1590119194362671,0.05562184735423736,0.8450542297897947,0.9006760771440321,6.626037906709634,-3836.0302983091765,7682.060596618353
semiconductor,GFS,0.3731597612303038,0.07289251005299249,0.8870623957722877,0.9599549058252802,16.960231741388707,-2580.940774143827,5171.881548287654
semiconductor,ICHR,0.5239570886908478,0.0434726850847324,0.9254639178215841,0.9689366029063164,21.96555661736797,-4104.270866873845,8218.54173374769
semiconductor,INTC,0.2817743659904857,0.06997681160214658,0.9052393445247543,0.9752161561269008,27.61967965072027,-3517.3826681369187,7044.765336273837
semiconductor,IPGP,1.0849345720156414,0.11503731744134478,0.7343287079017426,0.8493660253430875,4.2455328727048816,-3453.330067835376,6916.660135670752
semiconductor,KLAC,0.3768445744949265,0.07515442315529564,0.878757066519453,0.9539114896747486,14.690179976804982,-3582.24366564947,7174.48733129894
semiconductor,KLIC,0.5125300961923769,0.10579241960012233,0.8372502917773486,0.9430427113774709,11.819635013478461,-3642.448738244215,7294.89747648843
semiconductor,LRCX,0.31896881434929314,0.0779136814724165,0.8886399726190289,0.9665536540914454,20.37561418460049,-3676.864289709844,7363.728579419688
semiconductor,LSCC,0.45333892710464196,0.05733516501067878,0.9027355903376847,0.9600707553483635,17.01045901064498,-3890.4055957702885,7790.811191540577
semiconductor,MCHP,0.43718141544966216,0.09191990528249569,0.8510988176700947,0.9430187229525904,11.814510292518902,-3573.093536739263,7156.187073478526
semiconductor,MPWR,0.5851500374276994,0.11130432320797708,0.8428663509741615,0.9541706741821386,14.775250375702633,-3816.7321419993177,7643.464283998635
semiconductor,MRVL,0.6667222691459347,0.08460440197233063,0.8643189250308504,0.948923327003181,13.221117305838687,-3912.3252133647493,7834.650426729499
semiconductor,MTSI,0.668770289671843,0.10380173838790398,0.8210656620676762,0.9248674004555801,8.874566863900483,-3637.170075721104,7284.340151442208
semiconductor,MU,0.21388014098140262,0.0639752735154089,0.9153313920111016,0.9793066655265105,33.148375592852815,-3736.3878690410356,7482.775738082071
semiconductor,NVDA,0.3648912957242638,0.09074331085573545,0.8786998950882501,0.9694432059439855,22.335531257538154,-3814.623578605657,7639.247157211314
semiconductor,NVMI,0.16183800632160036,0.060470052285011275,0.9215773288590692,0.9820473811440804,38.262188758697235,-3615.9153389280928,7241.8306778561855
semiconductor,NXPI,0.3464946439411384,0.10574811904538646,0.843919988275654,0.9496681073210405,13.421973752149748,-3493.1088777613045,6996.217755522609
semiconductor,ON,0.898075200238784,0.12232421478885336,0.802737486876135,0.9250617016649884,8.898499409625666,-3876.979513329618,7763.959026659236
semiconductor,ONTO,1.0983558281932346,0.08231313205391315,0.8250092201870066,0.9073223522409197,7.1269287449418295,-3886.6728205289323,7783.345641057865
semiconductor,QCOM,0.21081689339142362,0.07339281024396423,0.8984807112946169,0.9718735215385812,24.295716113440626,-3389.8076542864956,6789.615308572991
semiconductor,SITM,1.8573914344989206,0.0663549989974082,0.8550264561682925,0.9213814551657007,8.465283536800923,-4372.524613208214,8755.049226416428
semiconductor,TER,0.27090901535042716,0.048984724496668824,0.9202861855603576,0.9692709100570264,22.208333943853766,-3651.6886007134212,7313.3772014268425
semiconductor,TXN,0.20529490105046563,0.09220902793477397,0.8557336479953241,0.9479426759300981,12.965413634533341,-3053.034313900256,6116.068627800512
semiconductor,UCTT,0.29542694383990203,0.03984686276435532,0.9377839984214834,0.9776308611858388,30.63888165718573,-4019.832066370698,8049.664132741396
semiconductor,VECO,0.17930646409287587,0.04563945162622484,0.9326391844617143,0.9782786360879392,31.563007685792538,-3628.485636968147,7266.971273936294
